name,eco,fen,moves
Dutch Defense: Hevendehl Gambit,A80,rnbqkbnr/pppp2pp/8/4pp2/3P2P1/8/PPP1PP1P/RNBQKBNR w KQkq,  d4 f5   g4 e5
Dutch Defense: Hopton Attack,A80,rnbqkbnr/ppppp1pp/8/5pB1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq,  d4 f5   Bg5
Dutch Defense: Janzen-Korchnoi Gambit,A80,rnbqkb1r/ppppp1pp/5n2/5p2/3P2P1/7P/PPP1PP2/RNBQKBNR b KQkq,  d4 f5   h3 Nf6   g4
Dutch Defense: Kingfisher Gambit,A80,rnbqkbnr/ppp1p1pp/8/3p1p2/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq,  d4 f5   Nc3 d5   e4
Dutch Defense: Korchnoi Attack,A80,rnbqkbnr/ppppp1pp/8/5p2/3P4/7P/PPP1PPP1/RNBQKBNR b KQkq,  d4 f5   h3
Dutch Defense: Krejcik Gambit,A80,rnbqkbnr/ppppp1pp/8/5p2/3P2P1/8/PPP1PP1P/RNBQKBNR b KQkq,  d4 f5   g4
Dutch Defense: Leningrad Variation,A86,rnbqkb1r/ppppp2p/5np1/5p2/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq,  d4 f5   c4 Nf6   g3 g6
"Dutch Defense: Manhattan Gambit, Anti-Classical Line",A80,rnbqkbnr/pppp2pp/4p3/5p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,  d4 f5   Qd3 e6   g4
"Dutch Defense: Manhattan Gambit, Anti-Leningrad",A80,rnbqkbnr/ppppp2p/6p1/5p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,  d4 f5   Qd3 g6   g4
"Dutch Defense: Manhattan Gambit, Anti-Modern",A80,rnbqkbnr/ppp1p1pp/3p4/5p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,  d4 f5   Qd3 d6   g4
"Dutch Defense: Manhattan Gambit, Anti-Stonewall",A80,rnbqkbnr/ppp1p1pp/8/3p1p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,  d4 f5   Qd3 d5   g4
Dutch Defense: Normal Variation,A84,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 f5   c4 Nf6
Dutch Defense: Omega-Isis Gambit,A80,rnbqkbnr/pppp2pp/8/4pp2/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 f5   Nf3 e5
Dutch Defense: Queen's Knight Variation,A85,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq,  d4 f5   c4 Nf6   Nc3
